"bin","ID","time_start_sec","time_end_sec","Distance_m","Mean_speed_m_s","Max_speed_m_s","Time_immobile_s","Immobile_episodes","Absolute_turn_angle_deg","Meander_deg_per_m","Bottom_entries","Bottom_time_s","Middle_entries","Middle_time_s","Top_entries","Top_time_s","Mean_dist_from_bottom_m","Acceleration_episodes_500ms","Acceleration_time_s","Tortuosity_episodes_1s","Tortuosity_time_s","Zone_count","IM_time_s","IM_episodes","NB_time_s","NB_episodes","HS_time_s","HS_episodes","TR_time_s","TR_episodes"
1,1,0,30,0,3.40556145833289e-05,0.00897723358000501,29.9,1,0,0,0,30,0,0,0,0,0.00197676147231482,0,0,0,0,3,0.566666666666667,1,28.0666666666667,4,1.36666666666667,2,0,0
2,1,30,60,0,0,0.00944244509987817,30,0,0,NA,0,30,0,0,0,0,0.00221868683167269,0,0,0,0,3,3.96666666666667,4,21.5,10,4.53333333333333,5,0,0
3,1,60,90,1.4636878967929,0.0487895965597633,0.0967916960274323,0,0,2511.48972706695,1715.86424439931,0,27,0,0,0,0,0.00289628263035315,0,0,4,2.9,3,0,0,25.1,8,4.9,7,0,0
4,1,90,120,1.68626033196208,0.0562086777320693,0.0825847761644547,0,0,2084.71059050027,1236.29225629389,3,27.1333333333333,4,2.86666666666667,0,0,0.0136858570544403,2,1.23333333333333,1,0.666666666666667,3,0,0,25.7666666666667,7,2.9,4,1.33333333333333,2
5,1,120,150,1.59485581195292,0.0531618603984306,0.0863488247738868,0,0,1787.92243811651,1121.05585013806,3,26.9666666666667,3,3.03333333333333,0,0,0.0152959855148328,3,2,1,0.5,3,0,0,28.1333333333333,3,1.1,1,0.766666666666667,1
6,1,150,180,1.70587463992724,0.0568624879975748,0.099766166109238,0,0,2128.92008577487,1247.99327919294,5,19.8666666666667,7,7.63333333333333,3,2.5,0.0274691429896661,6,4.6,0,0,3,0,0,24.2,10,3.5,5,2.3,5
7,1,180,210,1.66480149890591,0.0554933832968636,0.0979460054917996,0,0,1796.88025339826,1079.33603770729,4,21,7,7.3,3,1.7,0.0243242091862958,1,0.7,1,0.533333333333333,3,0,0,26.4333333333333,7,2.26666666666667,3,1.3,3
8,1,210,240,1.91699540574613,0.0638998468582042,0.100585572865098,0,0,2447.13663484998,1276.5479914635,6,17.1,11,9.03333333333333,5,3.86666666666667,0.0329727515958883,9,7.93333333333333,1,0.933333333333333,3,0,0,21.5333333333333,10,3.3,3,5.16666666666667,6
9,1,240,270,2.04906113799304,0.0683020379331014,0.104273561527177,0,0,2662.77729372683,1299.51090494786,7,19.8,10,8.16666666666667,2,2.03333333333333,0.0287226595029138,14,10.3666666666667,2,1.06666666666667,3,0,0,15.9666666666667,12,3.3,5,10.7333333333333,12
10,1,270,300,2.45982902966595,0.0819943009888649,0.130293571521055,0,0,5027.53755164828,2043.85650019385,8,5.83333333333333,17,12.5666666666667,10,11.6,0.056852458994777,10,9.26666666666667,2,1.56666666666667,3,0,0,10.7333333333333,8,13.9,11,5.36666666666667,8
