"bin","ID","time_start_sec","time_end_sec","Distance_m","Mean_speed_m_s","Max_speed_m_s","Time_immobile_s","Immobile_episodes","Absolute_turn_angle_deg","Meander_deg_per_m","Bottom_entries","Bottom_time_s","Middle_entries","Middle_time_s","Top_entries","Top_time_s","Mean_dist_from_bottom_m","Acceleration_episodes_500ms","Acceleration_time_s","Tortuosity_episodes_1s","Tortuosity_time_s","Zone_count","IM_time_s","IM_episodes","NB_time_s","NB_episodes","HS_time_s","HS_episodes","TR_time_s","TR_episodes"
1,1,0,300,14.5413657529462,0.0484746247379455,0.130293571521055,60.1333333333333,1,20447.374575082,1406.05348919637,36,224.7,59,50.6,23,21.7,0.0206414795773155,45,36.1,12,8.16666666666667,3,4.53333333333333,5,227.433333333333,72,41.0666666666667,45,26.9666666666667,37
1,2,0,300,18.2308689635169,0.0607695632117229,0.134090251665357,32.6666666666667,1,37827.4918708654,2074.91436346587,49,144.633333333333,105,63.9333333333333,56,88,0.041101826930799,80,56.2,20,14.6333333333333,3,33.1666666666667,1,131.666666666667,62,124.266666666667,66,10.9,16
1,3,0,300,23.4809607602095,0.0782698692006984,0.149608862769125,0,0,34811.2793929836,1482.53215651952,30,234.4,52,41.9666666666667,22,20.6333333333333,0.0211894542879058,105,84.3666666666667,18,9.8,3,0,0,187.166666666667,97,77.7,75,35.1333333333333,38
1,4,0,300,26.2478018278991,0.0874926727596635,0.167263139647587,0,0,47803.645495209,1821.24376771231,45,136.133333333333,99,69.2666666666667,54,91.5666666666667,0.0426089225286804,156,132.3,33,23.4333333333333,3,0,0,120.266666666667,81,156.566666666667,85,23.1666666666667,30
1,5,0,300,14.9762574812318,0.0499406927756936,0.115717710790546,11.5666666666667,2,19957.8563207414,1332.10382231989,30,174.133333333333,48,83.9,18,38.9666666666667,0.0302420107220464,17,12.3333333333333,7,3.66666666666667,3,0.966666666666667,2,236.966666666667,83,23.5666666666667,31,38.5,46
1,6,0,300,7.19265677224814,0.0239755225741605,0.0920863544233099,0,0,2843.59059708522,395.346349356863,5,205.033333333333,9,22.5,4,66.5,0.0304697914831533,0,0,1,0.5,3,0.733333333333333,1,286.8,29,8.2,16,4.26666666666667,7
1,7,0,300,21.8244275828016,0.0727480919426719,0.185010329502121,0,0,37330.4973137023,1710.49147438442,38,102.233333333333,95,103.333333333333,57,91.4333333333333,0.04701883168736,83,67.2666666666667,19,14.5333333333333,3,0,0,188.366666666667,92,102.6,80,9.03333333333333,13
1,8,0,300,11.8664935769424,0.0395549785898081,0.111601896142425,9.9,3,13667.2121336653,1151.74815922218,13,160.6,22,26.7333333333333,9,109.666666666667,0.043039407647983,21,14.8666666666667,5,2.93333333333333,3,37.3333333333333,13,222.266666666667,56,21.4,26,19,27
1,9,0,300,23.1530452323999,0.0771768174413329,0.163623699235492,0,0,40357.8233027036,1743.0892091131,71,104.066666666667,153,87.0333333333333,83,104.8,0.0485982849897163,137,115.133333333333,32,20.9333333333333,3,0,0,115.366666666667,107,162.4,111,22.2333333333333,28
1,10,0,300,13.4353078727196,0.0447843595757321,0.0924728273612992,0,0,21399.0090545647,1592.74422717289,35,227.3,48,53.3,12,16.4,0.023856298517659,5,2.7,18,11.6333333333333,3,0,0,258.633333333333,46,35.5,37,5.86666666666667,7
1,11,0,300,11.6827163024989,0.0389423876749964,0.0965832056503506,0,0,27439.4454074336,2348.72136727007,29,251.366666666667,42,30.5666666666667,13,14.5666666666667,0.0164461181786202,5,3.13333333333333,37,25.3333333333333,3,0,0,180.233333333333,43,109.833333333333,46,9.93333333333333,12
1,12,0,300,6.09707067311382,0.0203235689103794,0.115455663757315,130.433333333333,3,8912.22651590381,1461.72268515829,3,286.566666666667,6,5.73333333333333,3,4.7,0.00517629988093045,2,1.06666666666667,3,1.8,3,143.8,3,137.9,26,15.1666666666667,16,3.13333333333333,7
1,13,0,300,20.0901364331222,0.0669671214437407,0.161607190551109,0,0,30900.6237174108,1538.09924687547,37,206.266666666667,70,36.8,33,51.5333333333333,0.0286253771223484,92,87.1,19,10.8333333333333,3,0,0,191,86,85.8666666666667,66,23.1333333333333,31
1,14,0,300,16.427106771642,0.0547570225721399,0.115889527685342,18.6,2,26421.8652657823,1608.43084744504,48,184.933333333333,65,56.7666666666667,17,55.3,0.0332588018810683,52,43.3,11,7.76666666666667,3,22.1333333333333,5,193.666666666667,73,66.2,64,18,24
1,15,0,300,4.80452964116277,0.0160150988038759,0.094881554869269,0,0,3772.46840558871,785.189953511395,18,59.4,30,70.7333333333333,12,166.866666666667,0.0642103478073082,0,0,1,0.5,3,0,0,290.633333333333,18,5.13333333333333,8,4.23333333333333,6
1,16,0,300,22.4123246490303,0.0747077488301011,0.134481606603199,0,0,52837.7461091247,2357.5308200531,58,128.2,127,65.6666666666667,69,102.566666666667,0.0455271955204759,105,80.4666666666667,56,44.9,3,0,0,113.233333333333,68,150.766666666667,77,36,47
1,17,0,300,15.1174033193346,0.0503913443977819,0.109715830617357,0,0,24914.4714470545,1648.06553882107,44,207.933333333333,61,68.7,17,20.3666666666667,0.0279814393734275,34,27.1333333333333,12,7.43333333333333,3,0,0,245.566666666667,54,43.9,41,10.5333333333333,16
1,18,0,300,20.1367403279469,0.0671224677598229,0.142739143136697,0,0,43267.5183128363,2148.68531888388,39,137.9,81,58.1333333333333,42,100.8,0.0428258184539616,82,64.6333333333333,49,35.9666666666667,3,0,0,138.933333333333,80,152.666666666667,80,8.4,13
1,19,0,300,7.01243173588344,0.0233747724529448,0.0885277010140815,0,0,8527.57659833585,1216.06554181472,8,134.733333333333,13,16.1666666666667,5,146.1,0.0521935049296724,1,0.666666666666667,4,2.2,3,4.6,5,286.1,25,5.3,8,4,6
